"Test Number","Brand","Textile Mill","Fabric Database","Labratory","Fuze Fabric Number","Wash","Number of Washes","Test Method","Test Method (dropdown)","Test Report #","Tested Bacteria #1","Antimicrobial Result #1","Tested Bacteria","Tested Bacteria #2","Antibacterial Result #2","Written Result (Fungal Testing)","Tested Odor","Tested Metal","ICP (Ag) Result","ICP (Au) Result","Fuze Internal Report #","Date","Date (post wash)","Testing Labratory","Fuze Application Date","Report 1","Report 1 : URL","Report 2","Report 2 : URL","Report 3","Report 3 : URL","Report 4","Report 4 : URL","Image","Image : URL","Ag Serial #","Au Serial #","Fungal Serial #","Machine Type","Post Wash Report #","Ag","Record ID"
"336","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00880099","E-coli (ATCC 8739)","","E-coli","","","No inhibition of growth.","","","","","","05/06/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d15126ae702d825b5a9"
"337","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00881353","E-coli (ATCC 8739)","66%","E-coli","","","","","","","","YY20004","05/12/2020","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d15126ae702d825b5ad"
"338","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00881356","E-coli (ATCC 8739)","94%","E-coli","","","","","","","","VN20001","05/12/2020","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d15126ae702d825b5b1"
"339","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00881357","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","VN20002","05/12/2020","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d15126ae702d825b5b7"
"340","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00884148","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only.","","","","","YY20008","05/21/2020","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d15126ae702d825b5bb"
"341","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00884296","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only.","","","","","","05/26/2020","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d15126ae702d825b5bf"
"342","","","","ITS - Taiwan","","10","10 Wash","ASTM E2149","ASTM E2149","TWNC00884828","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","05/28/2020","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d15126ae702d825b5c3"
"343","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00885171","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","05/27/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d15126ae702d825b5c7"
"344","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00884832","E-coli (ATCC 8739)","62%","E-coli","","","","","","","","","05/26/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d15126ae702d825b5cd"
"345","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00887235","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","06/04/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d15126ae702d825b5d1"
"346","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00887237","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only.","","","","","","06/04/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d15126ae702d825b5d5"
"347","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00887239","E-coli (ATCC 8739)","78%","E-coli","","","","","","","","LS20006","06/04/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d15126ae702d825b5d9"
"348","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00887244","E-coli (ATCC 8739)","","E-coli","","","No Inhibition of growth.","","","","","","06/04/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d16126ae702d825b5dd"
"349","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00887249","E-coli (ATCC 8739)","","E-coli","","","No Inhibition of growth. ","","","","","","06/04/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d16126ae702d825b5e3"
"350","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00887255","E-coli (ATCC 8739)","98%","E-coli","","","","","","","","LS20005","06/04/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d16126ae702d825b5e7"
"351","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00887257","E-coli (ATCC 8739)","","E-coli","","","No Inhibition of growth.","","","","","","06/04/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d16126ae702d825b5eb"
"352","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00887258","E-coli (ATCC 8739)","","E-coli","","","No Inhibition of growth.","","","","","","06/04/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d16126ae702d825b5ef"
"353","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00889589","E-coli (ATCC 8739)","21%","E-coli","","","","","","","","","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d16126ae702d825b5f3"
"354","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00889593","E-coli (ATCC 8739)","57%","E-coli","","","","","","","","FE20001","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d16126ae702d825b5f7"
"355","","","","ITS - Taiwan","","50","50 Wash","ASTM E2149","ASTM E2149","TWNC00911155","E-coli (ATCC 8739)","99%","E-coli","","","","","","","","","08/27/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d16126ae702d825b5fd"
"356","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00889594","E-coli (ATCC 8739)","9%","E-coli","","","","","","","","","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d16126ae702d825b601"
"357","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00889596","E-coli (ATCC 8739)","26%","E-coli","","","","","","","","","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d16126ae702d825b605"
"358","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00889597","E-coli (ATCC 8739)","84%","E-coli","","","","","","","","FE20002","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d16126ae702d825b609"
"359","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00889598","E-coli (ATCC 8739)","43%","E-coli","","","","","","","","","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d16126ae702d825b60f"
"360","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00889607","E-coli (ATCC 8739)","35%","E-coli","","","","","","","","","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d16126ae702d825b613"
"361","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00889600","E-coli (ATCC 8739)","2%","E-coli","","","","","","","","","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d16126ae702d825b617"
"362","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00889608","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only. No Inhibition of growth.","","","","","","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d16126ae702d825b61b"
"363","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00889922","E-coli (ATCC 8739)","21%","E-coli","","","","","","","","","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d17126ae702d825b61f"
"364","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00894863","E-coli (ATCC 8739)","32%","E-coli","","","","","","","","","07/02/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d17126ae702d825b623"
"365","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00894864","E-coli (ATCC 8739)","77%","E-coli","","","","","","","","","07/02/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d17126ae702d825b629"
"366","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00889923","E-coli (ATCC 8739)","15%","E-coli","","","","","","","","","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d17126ae702d825b62d"
"367","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00889924","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only.","","","","","MP20005","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d17126ae702d825b631"
"368","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00889928","E-coli (ATCC 8739)","9%","E-coli","","","","","","","","","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d17126ae702d825b635"
"369","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00889930","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only.","","","","","MP20006","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d17126ae702d825b63b"
"370","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00889932","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","MP20004","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d17126ae702d825b63f"
"371","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00889934","E-coli (ATCC 8739)","22%","E-coli","","","","","","","","MP20008","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d17126ae702d825b643"
"372","","","","ITS - Taiwan","","10","10 Wash","ASTM E2149","ASTM E2149","TWNC00894866","E-coli (ATCC 8739)","69%","E-coli","","","","","","","","MP20008-1","07/06/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d17126ae702d825b647"
"373","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00899811","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only. Without clear zone.","","","","","MP20008-2","07/21/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d17126ae702d825b64b"
"374","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00890491","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","06/18/2020","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d17126ae702d825b650"
"375","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00890499","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","06/18/2020","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d17126ae702d825b655"
"376","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00895351","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only.","","","","","BN20007","07/06/2020","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d17126ae702d825b659"
"377","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00890501","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","CD20001","06/18/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d18126ae702d825b65d"
"378","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00891253","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","AK20001","06/19/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d18126ae702d825b661"
"379","","","","ITS - Taiwan","","10","10 Wash","ASTM E2149","ASTM E2149","TWNC00891253-S1","E-coli (ATCC 8739)","91%","E-coli","","","","","","","","AK20001-1","07/03/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d18126ae702d825b665"
"380","","","","ITS - Taiwan","","3","5 Wash","水洗縮率AATCC 135*3次","AATCC 135","TWNC00892261","","","","","","Warp Negligible Weft -1.4% ","","","","","","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d18126ae702d825b66b"
"381","","","","ITS - Taiwan","","3","5 Wash","水洗縮率AATCC 135*3次","AATCC 135","TWNC00892272","","","","","","Warp -2.5% Weft -1.3% ","","","","","","06/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d18126ae702d825b66f"
"382","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00892275","E-coli (ATCC 8739)","99%","E-coli","","","","","","","","VN20003","06/23/2020","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d18126ae702d825b673"
"383","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00892278","E-coli (ATCC 8739)","53%","E-coli","","","","","","","","","06/23/2020","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","","","67777d18126ae702d825b677"
"384","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00895190","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only.","","","","","SH20002","07/03/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d18126ae702d825b67d"
"385","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00895196","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only.","","","","","SH20003","07/03/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d18126ae702d825b681"
"386","","","","ITS - Taiwan","","0","0 Wash","AATCC 30","AATCC 30","TWNC00895199","Aspergillus niger (ATCC 6275) ","","Aspergilllus niger","","","No growth of Aspergillus niger was observed on surface area of the tested sample.","","","","","SH20005","07/15/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d18126ae702d825b685"
"387","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00921041","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only.","","","","","","","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d18126ae702d825b68b"
"388","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00895345","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only.","","","","","SH20004","07/06/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d18126ae702d825b68f"
"389","","","","ITS - Taiwan","","0","0 Wash","AATCC 30","AATCC 30","TWNC00895348","Aspergillus niger (ATCC 6275) ","","Aspergilllus niger","","","No growth of Aspergillus niger was observed on surface area of the tested sample.","","","","","SH20006","07/16/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d19126ae702d825b693"
"390","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00895202","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","07/03/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d19126ae702d825b697"
"391","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00895203","E-coli (ATCC 8739)","99%","E-coli","","","","","","","","","07/03/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d19126ae702d825b69b"
"392","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00895206","E-coli (ATCC 8739)","70%","E-coli","","","","","","","","","07/03/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d19126ae702d825b6a1"
"393","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00895207","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","07/03/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d19126ae702d825b6a5"
"394","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00895210","Staph (AATCC 6538)","0%","Staph","","","","","","","","","07/03/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d19126ae702d825b6a9"
"395","","","","ITS - Taiwan","","0","0 Wash","AATCC 100","AATCC 100","TWNC00895211","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","07/03/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d19126ae702d825b6ad"
"396","","","","ITS - Taiwan","","0","0 Wash","AATCC 100","AATCC 100","TWNC00895215","Staph (AATCC 6538)","0%","Staph","","","","","","","","","07/03/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d19126ae702d825b6b1"
"397","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00895216","E-coli (ATCC 8739)","","E-coli","","","吸水面: Inhibition of growth beneath the specimen only. 撥水面:No Inhibition of growth.","","","","","","07/03/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d19126ae702d825b6b7"
"398","","","","ITS - Taiwan","","50","50 Wash","ASTM E2149","ASTM E2149","TWNC00911152","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","08/27/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d19126ae702d825b6bb"
"399","","","","ITS - Taiwan","","50","50 Wash","AATCC 147","AATCC 147","TWNC00911154","E-coli (ATCC 8739)","","E-coli","","","吸水面: Inhibition of growth beneath the specimen only. 撥水面:No Inhibition of growth.","","","","","","08/27/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d19126ae702d825b6bf"
"400","","","","ITS - Taiwan","","0","0 Wash","ASTM G21","ASTM G21","TWNC00895646","","","","","","no growth seen","","","","","","08/26/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d19126ae702d825b6c3"
"401","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00896295","E-coli (ATCC 8739)","","E-coli","","","No Inhibition of growth.","","","","","","07/08/2020","","ITS TW","","","","","","","","","","","","","","","FUZE","","","67777d19126ae702d825b6c7"
"402","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00897306","E-coli (ATCC 8739)","","E-coli","","","--","","","","","DL20001","07/14/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d19126ae702d825b6cb"
"403","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00903359","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only. ","","","","","DL20003","08/04/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1a126ae702d825b6d9"
"404","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00903361","E-coli (ATCC 8739)","97%","E-coli","","","","","","20006.000","","DL20006","08/04/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1a126ae702d825b6e8"
"405","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00897307","E-coli (ATCC 8739)","49%","E-coli","","","","","","","","DL20002","07/14/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1a126ae702d825b6f7"
"406","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00897310","E-coli (ATCC 8739)","","E-coli","","","--","","","","","","07/14/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1a126ae702d825b70e"
"407","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00897313-S1","E-coli (ATCC 8739)","","E-coli","","","No Inhibition of growth.","","","","","FD20007","07/14/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1a126ae702d825b713"
"408","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00900334","E-coli (ATCC 8739)","","E-coli","","","No Inhibition of growth.","","","","","","07/23/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d1a126ae702d825b717"
"409","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00900339","E-coli (ATCC 8739)","","E-coli","","","--","","","","","","07/23/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d1a126ae702d825b71b"
"410","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00900344","E-coli (ATCC 8739)","","E-coli","","","No inhibition of growth. ","","","","","","07/23/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d1a126ae702d825b71f"
"411","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00900350","E-coli (ATCC 8739)","3%","E-coli","","","","","","","","","07/23/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d1a126ae702d825b723"
"412","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00899258","E-coli (ATCC 8739)","92%","E-coli","","","","","","","","KF20003","07/20/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1a126ae702d825b729"
"413","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00899260","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only.","","","","","KF20002","07/20/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1a126ae702d825b72d"
"414","","","","ITS - Taiwan","","10","10 Wash","AATCC 147","AATCC 147","TWNC00907574","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only. Without clear zone. ","","","","","","08/21/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1a126ae702d825b731"
"415","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00899269","E-coli (ATCC 8739)","83%","E-coli","","","","","","","","KF20004","07/20/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1a126ae702d825b735"
"416","","","","ITS - Taiwan","","5","5 Wash","ASTM E2149","ASTM E2149","TWNC00908197","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","08/20/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1a126ae702d825b73b"
"417","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00899272","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only. ","","","","","KF20001","07/20/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1b126ae702d825b73f"
"418","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00899812","E-coli (ATCC 8739)","83%","E-coli","","","","","","","","AG20004","07/21/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1b126ae702d825b743"
"419","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00905009","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only.","","","","","","08/07/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1b126ae702d825b747"
"420","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00899814","E-coli (ATCC 8739)","53%","E-coli","","","","","","","","GP20001","07/21/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1b126ae702d825b74b"
"421","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00899815","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","07/21/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1b126ae702d825b751"
"422","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00903364","E-coli (ATCC 8739)","52%","E-coli","","","","","","","","","08/04/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1b126ae702d825b755"
"423","","","","ITS - Taiwan","","0","0 Wash","AATCC 147","AATCC 147","TWNC00903365","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only.","","","","","GP20002","08/04/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1b126ae702d825b759"
"424","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00899816","E-coli (ATCC 8739)","","E-coli","","","--","","","","","","07/21/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1b126ae702d825b75d"
"425","","","","ITS - Taiwan","","0","0 Wash","AATCC 147(7天)","AATCC 147","TWNC00903328","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only.","","","","","DL20004","07/31/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1b126ae702d825b761"
"426","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00903366","E-coli (ATCC 8739)","56%","E-coli","","","","","","","","","08/04/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1b126ae702d825b767"
"427","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00899817","E-coli (ATCC 8739)","0%","E-coli","","","","","","","","","07/21/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1b126ae702d825b76b"
"428","","","","ITS - Taiwan","","0","0 Wash","AATCC 147(7天)","AATCC 147","TWNC00903332","E-coli (ATCC 8739)","","E-coli","","","Inhibition of growth beneath the specimen only. ","","","","","DL20005","07/31/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1b126ae702d825b76f"
"429","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00903367","E-coli (ATCC 8739)","82%","E-coli","","","","","","","","","08/04/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Conveyor","","","67777d1b126ae702d825b773"
"430","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00900082","E-coli (ATCC 8739)","95%","E-coli","","","","","","","","PM20001","07/22/2020","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d1b126ae702d825b777"
"431","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00992261","MRSA (AATCC 33591)","76%","MRSA","","","","","","","","","06/22/2021","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d1c126ae702d825b77d"
"432","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00992262","Salmonella Typhi","0%","Salmonella typhi","","","","","","","","","07/05/2021","","ITS TW","","","","","","","","","","","","","","","MISTII Mobile   ","","","67777d1c126ae702d825b781"
